Drug	Original Target	Source	Target	Trade name	Type	Use	Tissue	Tissue Hits	Supporting Evidence	Notes	
Nimotuzumab[45][108]		humanized	EGFR	Theracim, Theraloc	mab	squamous cell carcinoma, head and neck cancer, nasopharyngeal cancer, glioma		Ovary, Skin-Head, Lung, Pancreas	Nimotuzumab (h-R3,[2] BIOMAb EGFR, Biocon, India;[3] TheraCIM, CIMYM Biosciences, Canada; Theraloc, Oncoscience, Europe, CIMAher, Center of Molecular Immunology, Havana, Cuba) is a humanized monoclonal antibody that as of 2014 had orphan status in the US and EU for glioma, and marketing approval in India, China, and other countries for squamous cell carcinomas of the head and neck, and was undergoing several clinical trials.According to a 2009 review: "Nimotuzumab was approved for the following indications—For squamous cell carcinoma in head and neck (SCCHN) in India, Cuba, Argentina, Colombia, Ivory Coast, Gabon, Ukraine, Peru and Sri Lanka (expired now); for glioma (pediatric and adult) in Cuba, Argentina, Philippines and Ukraine; for nasopharyngeal cancer in China. It has been granted orphan drug status for glioma in USA and for glioma and pancreatic cancer in Europe.In April 2014, Daiichi Sankyo announced that it was halting a multicenter, randomized, double-blind, placebo-controlled Phase III study investigating nimotuzumab for first-line therapy in patients with unresectable and locally advanced squamous cell lung cancer, due to safety issues in certain patients who received a combination of cisplatin, vinorelbine, radiotherapy, and nimotuzumab. April 25, 2014 Daiichi Sankyo Announces Discontinuation of Phase 3 Clinical Trial in Japan of Nimotuzumab (DE-766) in Lung Cancer		
Nivolumab[109]	PD-1	human	PDCD1	Opdivo	mab	cancer		Skin-Head, Lung, Bladder, Kidney, Liver	[1][2] It is used as a first line treatment for inoperable or metastatic melanoma in combination with ipilimumab if the cancer does not have a mutation in BRAF,[2] as a second-line treatment following treatment with ipilimumab and if the cancer has a mutation in BRAF, with a BRAF inhibitor,[3] as a second-line treatment for squamous non-small cell lung cancer,[4] and as a second-line treatment for renal cell carcinoma.3 Lung cancer.Nivolumab is used as a first line treatment for inoperable or metastatic melanoma in combination with ipilimumab if the cancer does not have a mutation in BRAF,[2] and as a second-line treatment for inoperable or metastatic melanoma following treatment of ipilimumab and, if the cancer has a BRAF mutation, a BRAF inhibitor.[2][3] It is also used to treat metastatic squamous non-small cell lung cancer with progression with or after platinum-based drugs.[2][4] It also used as a second-line treatment for renal cell carcinoma after anti-angiogenic treatment has failed.FDA has approved nivolumab for primary or metastatic urothelial carcinoma, the most common form of bladder cancer.In clinical trials for lung cancer, the following side effects occurred in more than 10% of subjects and more frequently than with chemotherapy alone: fatigue, weakness, edema, fever, chest pain, generalized pain, shortness of breath, cough, muscle and joint pain, decreased appetite, abdominal pain, nausea and vomiting, constipation, weight loss, rash, and itchy skin.[2]:29 Age, gender, race, baseline LDH, PD-L1 expression, tumor type, tumor size, renal impairment, and mild hepatic impairment do not affect clearance of the drug.[3][14] In April 2015, the Committee for Medicinal Products for Human Use of the European Medicines Agency recommended approval of Nivolumab for metastatic melanoma as a monotherapy.In March 2015, the US FDA approved it for the treatment of squamous cell lung cancer.In November 2015, the FDA approved nivolumab as a second-line treatment for renal cell carcinoma after having granted the application breakthrough therapy designation, fast track designation, and priority review status.Lung cancer[edit].In 2016, BMS announced the results of a clinical trial in which nivolumab failed to achieve its endpoint and was no better than traditional chemotherapy at treating newly diagnosed lung cancer. Gains FDA Approval for Common Bladder Cancer.^ "FDA expands approved use of Opdivo to treat lung cancer (FDA. November 23, 2015 FDA Press Release: FDA approves Opdivo to treat advanced form of kidney cancer. "Bristol Myers: Opdivo Failed to Meet Endpoint in Key Lung-Cancer Study"		
Obinutuzumab	CD20	humanized	MS4A1	Gazyva	mab	Chronic lymphatic leukemia		Blood	It was investigated in Phase II/III clinical trials for the treatment of chronic lymphocytic leukemia. "Phase 1/2 study of lumiliximab combined with fludarabine, cyclophosphamide, and rituximab in patients with relapsed or refractory chronic lymphocytic leukemia"		
Ocaratuzumab[111]	CD20	humanized	MS4A1		mab	cancer		Blood	Ocaratuzumab (AME-133v, LY2469298) is a humanized monoclonal antibody designed for the treatment of cancer and autoimmune disorders.Phase I/II trials in relapsed/refractory follicular lymphoma have been completed in the United States (US) and Japan, and a Phase I trial was conducted in US rheumatoid arthritis patients.[2] Phase III development in relapsed follicular lymphoma patients is underway. AME-133v was purchased by Eli Lilly, received the name LY2469298, and a Phase I/II clinical trial in follicular lymphoma was conducted in the U.[2] A Phase I clinical trial in follicular lymphoma was also conducted in Japan. “Results of a Phase 1 Study of AME-133v (LY2469298), an Fc-Engineered Humanized Monoclonal Anti-CD20 Antibody, in FcγRIIIa-Genotyped Patients with Previously Treated Follicular Lymphoma”. Clin Cancer Res March 1, 2012 18:1395-1403; doi:1. Phase I study of LY2469298, an Fc-engineered humanized anti-CD20 antibody, in patients with relapsed or refractory follicular lymphoma. Cancer Science 2011;102:432-8		
Ofatumumab[22]	CD20	human	MS4A1	Arzerra	mab	chronic lymphocytic leukemia etc.		Blood, Bone	Milatuzumab (or hLL1) is an anti-CD74[1] humanized monoclonal antibody for the treatment of multiple myeloma non-Hodgkin’s lymphoma and chronic lymphocytic leukemia. Milatuzumab has received orphan drug designation from the Food and Drug Administration in the United States for the treatment of multiple myeloma and chronic lymphocytic leukemia.CD74 is present on a variety of hematological tumors and even on some solid cancers. It is present in limited amounts in normal tissues but widely found in leukemias, lymphomas and the vast majority of multiple myeloma cases.In preclinical studies with human lymphomas and myelomas, both naked Milatuzumab and the Milatuzumab conjugated with doxorubicin,[6] an antibody-drug conjugate or ADC, have demonstrated anti-lymphoma activity in-vivo.^ Combination anti-CD74 (Milatuzumab) and anti-CD20 (rituximab) monoclonal antibody therapy has in vitro and in vivo activity in mantle cell lymphoma.^ A Phase I study of Milatuzumab, a humanized anti-CD74 antibody, and Veltuzumab, a humanized anti-CD20 antibody, in patients with relapsed and refractory B-cell non-Hodgkin's lymphoma.^ TAp63 regulates VLA-4 expression and chronic lymphocytic leukemia cell migration to the bone marrow in a CD74-dependent manner		
Olaratumab	PDGF-R α	human	PDGFRA		mab	cancer		Skin-Head	Common milder side effects were lymphopenia, headache, diarrhoea, nausea and vomiting, mucositis, and reactions at the infusion site;[2] all typical effects of cancer therapies		
Onartuzumab[112]	human scatter factor receptor kinase	humanized	MET		mab	cancer		Blood	It was approved in Japan in 2012 for the treatment of relapsed or refractory adult T-cell leukemia/lymphoma.In 2016 it was in phase 1 clinical trials in combination with utomilumab (PF-05082566) for solid cancers		
Ontuxizumab[113]	TEM1	chimeric/humanized	CD248		mab	cancer		Skin-Head, Colon-Small_intestine	It is currently in phase II trials for melanoma, colorectal cancer, sarcoma, and lymphoma. "Endosialin Expression in Metastatic Melanoma Tumor Microenvironment Vasculature: Potential Therapeutic Implications"		
Oportuzumab monatox[105]	EpCAM	humanized	EPCAM		scFv	cancer		Bladder	Vicinium has been evaluated in phase I and II clinical trials in patients with non-muscle invasive bladder cancer.^ Phase I/II study of vicinium given by intravesical administration in patients with superficial transitional cell carcinoma of the bladder: Phase I results D		
Otlertuzumab[115]		humanized	CD37		mab	cancer		cancer	Otlertuzumab is a humanized monoclonal antibody designed for the treatment of cancer		
Pamrevlumab[8]		human	CTGF		mab	idiopathic pulmonary fibrosis (IPF), pancreatic cancer		Blood	Nesvacumab is an experimental monoclonal antibody originally designed for the treatment of cancer.Leukemia inhibitory factor (LIF)		
Panitumumab[68]		human	EGFR	Vectibix	mab	colorectal cancer		Colon-Small_intestine, Bladder, Skin-Head, Liver, Prostate, Kidney	Food and Drug Administration (FDA) for the first time in September 2006, for "the treatment of EGFR-expressing metastatic colorectal cancer with disease progression" despite prior treatment.[2] Panitumumab was approved by the European Medicines Agency (EMEA) in 2007, and by Health Canada in 2008 for "the treatment of refractory EGFR-expressing metastatic colorectal cancer in patients with non-mutated (wild-type) KRAS".Panitumumab was initially approved on September 27, 2006 for EGFR-expressing, metastatic CRC with disease progression on or following fluoropyrimidine-, oxaliplatin-, and irinotecan-containing regimens, based on the results of a study which showed clinical benefit in metastatic colorectal cancer patients.[3] In July 2009, the FDA updated the labels of two anti-EGFR monoclonal antibody drugs (panitumumab and cetuximab) indicated for the treatment of metastatic colorectal cancer to include information about KRAS mutations.[8] However, the PK is approximately linear at clinical doses, and the terminal half-life for a typical male patient of 80 kg and 60 years of age with colorectal cancer is about 9. Phase III clinical trials include treatment of esophageal cancer,[14] urothelial carcinoma,[15] metastatic head and neck cancer,[16] and liver metastasis in colorectal cancer.[17] Early trials showed limited efficacy in patients with malignant melanoma, bladder cancer, prostate cancer, and renal cell carcinoma.^ "Illumina, Amgen to Develop CDx for Colorectal Cancer". "Randomized Phase III Trial Results of Panitumumab, a Fully Human Anti—Epidermal Growth Factor Receptor Monoclonal Antibody, in Metastatic Colorectal Cancer". Clinical Colorectal Cancer. "Panitumumab–FOLFOX4 Treatment andRASMutations in Colorectal Cancer". "Skin Toxicity Evaluation Protocol with Panitumumab (STEPP), a Phase II, Open-Label, Randomized Trial Evaluating the Impact of a Pre-Emptive Skin Treatment Regimen on Skin Toxicities and Quality of Life in Patients with Metastatic Colorectal Cancer". "Panitumumab versus cetuximab in patients with chemotherapy-refractory wild-type KRAS exon 2 metastatic colorectal cancer (ASPECCT): A randomised, multicentre, open-label, non-inferiority phase 3 study". "Wild-Type KRAS is Required for Panitumumab Efficacy in Patients with Metastatic Colorectal Cancer". "Open-Label Phase III Trial of Panitumumab Plus Best Supportive Care Compared with Best Supportive Care Alone in Patients with Chemotherapy-Refractory Metastatic Colorectal Cancer"		
Pankomab	tumor specific glycosylation of MUC1	humanized	MUC1		mab	ovarian cancer		Ovary	[1] PankoMab is being developed by Glycotope GMBH [2] and is currently undergoing a phase II clinical trial for ovarian cancer [3].cancer		
Parsatuzumab[51]		human	EGFL7		mab	cancer		Blood	Obinutuzumab (called afutuzumab until 2009,[1] originally GA101) is a humanized anti-CD20 monoclonal antibody, originated by GlycArt Biotechnology AG and developed by Roche as a cancer treatment. It was approved under the trade name Gazyva by the US FDA in 2013, and as Gazyvaro by the EMA in Europe, for the treatment of chronic lymphocytic leukemia in combination with chemotherapy in treatment-naive patients, and as a second line treatment for follicular lymphoma.Obinutuzumab is used in combination with chlorambucil as a first-line treatment for chronic lymphocytic leukemia.[2] It is also used in combination with bendamustine followed by obinutuzumab monotherapy for the treatment of patients with follicular lymphoma as a second line treatment to a regimen containing rituximab.On November 13, 2013 the US FDA approved obinutuzumab in combination with chlorambucil as a first-line treatment for chronic lymphocytic leukemia, and was the first drug with breakthrough therapy designation to gain approval.In their final recommendation of obinutuzumab, in the January 2015 Pan-Canadian Oncology Drug Review (pERC) for treatment of chronic lymphocytic leukemia, published by the Canadian Agency for Drugs and Technologies in Health, the list price of obinutuzumab provided by the manufacturer Hoffmann-La Roche was $CDN 5,275.In February 2016, obinutuzmab was approved by the FDA under the Priority Review program for use in combination with bendamustine followed by obinutuzumab monotherapy for the treatment of patients with follicular lymphoma as a secondline treatment to a regimen containing rituximab.As of 2014 clinical trials had been conducted exploring the use of obinutuzumab as a second line monotherapy in relapsed/refractory chronic lymphocytic leukemia, as a monotherapy for relapsed/refractory non-Hodgkin lymphoma in people who had high expression of CD20; and in combination with CHOP chemotherapy as a first line treatment for people with advanced CD20-positive diffuse large B-cell lymphoma.^ a b c d e f Evans SS, Clemmons AB Obinutuzumab: A Novel Anti-CD20 Monoclonal Antibody for Chronic Lymphocytic Leukemia.^ FDA approves Gazyva for chronic lymphocytic leukemia: Drug is first with breakthrough therapy designation to receive FDA approval, FDA News Release, FDA, November 13, 2013, retrieved July 20, 2015 .^ "NICE denies Roche cancer drug due to ‘data uncertainties’"		
Pasotuxizumab[23]	folate hydrolase	chimeric/humanized	FOLH1		mab	cancer		Blood	Ocaratuzumab (AME-133v, LY2469298) is a humanized monoclonal antibody designed for the treatment of cancer and autoimmune disorders.Phase I/II trials in relapsed/refractory follicular lymphoma have been completed in the United States (US) and Japan, and a Phase I trial was conducted in US rheumatoid arthritis patients.[2] Phase III development in relapsed follicular lymphoma patients is underway. AME-133v was purchased by Eli Lilly, received the name LY2469298, and a Phase I/II clinical trial in follicular lymphoma was conducted in the U.[2] A Phase I clinical trial in follicular lymphoma was also conducted in Japan. “Results of a Phase 1 Study of AME-133v (LY2469298), an Fc-Engineered Humanized Monoclonal Anti-CD20 Antibody, in FcγRIIIa-Genotyped Patients with Previously Treated Follicular Lymphoma”. Phase I study of LY2469298, an Fc-engineered humanized anti-CD20 antibody, in patients with relapsed or refractory follicular lymphoma		
Patritumab[37]	ERBB3 (HER3)	human	ERBB3		mab	cancer		Skin-Head, Breast	It is in a phase 2 clinical trial for squamous cell cancer of the head and neck.It is to be included in a new arm of the I-SPY 2 breast cancer trial.^ A Clinical Trial Using Patritumab or Placebo in Combination With Cetuximab and a Platinum Agent for Patients With Squamous Cell Cancer of the Head and Neck.^ Anti-HER3 Monoclonal Antibody Patritumab Selected for I-SPY 2 TRIAL in Breast Cancer		
Pembrolizumab[119]		humanized	PDCD1		mab	melanoma and other cancers		Stomach, Colon-Small_intestine, Skin-Head, Lung, Breast, Ovary	The drug was initially used to treat metastatic melanoma.As of 2017, pembrolizumab is used via intravenous infusion to treat inoperable or metastatic melanoma, metastatic non-small cell lung cancer (NSCLC) in certain situations, as a second-line treatment for head and neck squamous cell carcinoma (HNSCC), after platinum-based chemotherapy, and for the treatment of adult and pediatric patients with refractory classic Hodgkin's lymphoma (cHL).[17] But then later in 2010 scientists from Bristol Myers Squibb published a paper in the New England Journal of Medicine showing that their checkpoint inhibitor, ipilimumab (Yervoy) had shown strong promise in metastatic melanoma and that a second BMS checkpoint inhibitor, nivolumab, (Opdivo) was also promising.[17] As an example, Martin Huber was one of the few senior people at Merck with strong experience in lung cancer drug development, but had been promoted to senior management and was no longer involved in product development; he ended up stepping down from his role and led clinical development of pembrolizumab for lung cancer.[17] The phase I study started in early 2011, and Eric Rubin, who was running the melanoma trial, argued for and was able to win expansion of the trial until it reached around 1300 people roughly divided between melanoma and lung cancer, the largest Phase I study ever run in oncology.On October 2, 2015, the FDA approved pembrolizumab for the treatment of metastatic non-small cell lung cancer (NSCLC) in patients whose tumors express PD-L1 and who have failed treatment with other chemotherapeutic agents.In July 2016, the US FDA accepted for priority review an application for recurrent or metastatic head and neck squamous cell carcinoma (HNSCC) after a platinum-based chemotherapy,[25] and gave an accelerated approval on August 9, 2016.In August 2016, the FDA granted an accelerated approval to pembrolizumab as a treatment for patients with recurrent or metastatic head and neck squamous cell carcinoma (HNSCC) ("regardless of PD-L1 staining") following progression on a platinum-based chemotherapy, based on objective response rates (ORR) in the phase Ib KEYNOTE-012 study.In May 2017, pembrolizumab received an accelerated approval from the FDA for use in any unresectable or metastatic solid tumor with DNA mismatch repair deficiencies or a microsatellite instability-high state (or, in the case of colon cancer, tumors that have progressed following chemotherapy). Ninety patients had colorectal cancer, and 59 patients had one of 14 other cancer types. Response rates were similar across all cancer types, including 36% in colorectal cancer and 46% across the other tumor types.In 2015, Merck reported results in 13 cancer types; much attention was given to early results in head and neck cancer.As of May 2016, pembrolizumab was in Phase IB clinical trials for triple-negative breast cancer (TNBC), gastric cancer, urothelial cancer, and head and neck cancer (all under the "Keynote-012" trial) and in Phase II trial for TNBC (the "Keynote-086" trial). "Immunotherapy for head and neck squamous cell carcinoma". "Spotlight on pembrolizumab in non-small cell lung cancer: the evidence to date". "Toxicity management of immunotherapy for patients with metastatic melanoma". "Safety and tumor responses with lambrolizumab (anti-PD-1) in melanoma".^ "FDA approves Keytruda for advanced non-small cell lung cancer".^ Potential Biomarkers Identified for Pembrolizumab in Head and Neck Cancer.^ a b c FDA Approves Pembrolizumab for Head and Neck Cancer.^ Amgen slaps record-breaking $178K price on rare leukemia drug Blincyto. "Keytruda Impresses in Triple-Negative Breast Cancer".^ A Phase 3 Study of Pembrolizumab + Epacadostat or Placebo in Subjects With Unresectable or Metastatic Melanoma (Keynote-252 / ECHO-301)		
Pertuzumab	HER2/neu	humanized	ERBB2	Omnitarg	mab	cancer		Lung, Ovary, Skin-Head, Prostate, Breast	Pertuzumab (also called 2C4, trade name Perjeta)[1] is a monoclonal antibody used in combination with trastuzumab and docetaxel for the treatment of metastatic HER2-positive breast cancer; it also used in the same combination as a neoadjuvant in early HER2-positive breast cancer.Pertuzumab is administered as an intravenous infusion in combination with trastuzumab and docetaxel as a first line treatment for HER2-positive metastatic breast cancer.[2][3] It is also used in the same combination as a neoadjuvant (given to reduce the size of a tumor, prior to surgery or radiation) for HER2-positive early breast cancer; as of 2016 this use had not been shown to increase survival.In clinical trials of the three-agent combination therapy in metastatic breast cancer, adverse effects occurring in more than half the people taking it included diarrhea, hair loss, and loss of neutrophils; more than 10% of people experienced loss of neutrophils with fever, and loss of leukocytes. HER2 positive breast cancer is caused by mutation that results in overexpression of HER2 in approximately 15-30% of breast cancer tumors.In 2005 Genentech presented poor results of Phase II trials of pertuzumab as a single agent in prostate, breast, and ovarian cancers, and said that it intended to continue developing it in combination with other drugs for ovarian cancer.In 2012 the results were published of the CLEOPATRA trial, a randomized placebo-controlled Phase III trial of pertuzumab in combination with trastuzumab and docetaxel in HER2-positive metastatic breast cancer.[18] Pertuzumab received US FDA approval for the treatment of HER2-positive metastatic breast cancer later that year.Pertuzumab had also been studied in Non-small cell lung cancer but as of 2016 that indication had been discontinued.[23][24][25] This decision was subsequently reversed six months later and pertuzumab became the first new breast cancer drug to be approved by NICE for routine NHS funding in almost a decade after Roche pledged to provide the drug to the NHS at an undisclosed discount for patients in the neoadjuvant setting and to share the long–term financial risks. "HER2 Dimerization Inhibitor Pertuzumab - Mode of Action and Clinical Data in Breast Cancer.^ a b "Press Announcements - FDA approves Perjeta for type of late-stage breast cancer". "The HER2 Receptor in Breast Cancer: Pathophysiology, Clinical Use, and New Advances in Therapy". "Trastuzumab (herceptin), a humanized anti-Her2 receptor monoclonal antibody, inhibits basal and activated Her2 ectodomain cleavage in breast cancer cells. "Pertuzumab plus trastuzumab plus docetaxel for metastatic breast cancer. "Efficacy and safety of neoadjuvant pertuzumab and trastuzumab in women with locally advanced, inflammatory, or early HER2-positive breast cancer (NeoSphere): a randomised multicentre, open-label, phase 2 trial. "Systemic targeted therapy for her2-positive early female breast cancer: a systematic review of the evidence for the 2014 Cancer Care Ontario systemic therapy guideline. "Pertuzumab plus trastuzumab in combination with standard neoadjuvant anthracycline-containing and anthracycline-free chemotherapy regimens in patients with HER2-positive early breast cancer: a randomized phase II cardiac safety study (TRYPHAENA).^ "Press Announcements - FDA approves Perjeta for neoadjuvant breast cancer treatment". "Cost-Effectiveness of Pertuzumab in Human Epidermal Growth Factor Receptor 2-Positive Metastatic Breast Cancer. "Pertuzumab in combination with trastuzumab and docetaxel for the treatment of HER2-positive metastatic or locally recurrent unresectable breast cancer.^ "Breast cancer (HER2 positive, metastatic) - pertuzumab (with trastuzumab and docetaxel) [ID523]". "NICE rejects Roche’s breast cancer drug Perjeta". "NICE U-Turns and Backs Approval of Roche‘s Perjeta for HER2-Positive Breast Cancer"		
Pidilizumab[120]	PD-1	humanized	PDCD1		mab	cancer and infectious diseases		Blood	It is FDA approved for treating chronic lymphocytic leukemia that is refractory to fludarabine and alemtuzumab (Campath) and has also shown potential in treating follicular lymphoma, diffuse large B cell lymphoma, rheumatoid arthritis and relapsing remitting multiple sclerosis. Ofatumumab has also received conditional approval in Europe for the treatment of refractory chronic lymphocytic leukemia.Its only indication that has received regulatory approval is chronic lymphocytic leukemia (CLL).Relapsed follicular non-Hodgkin's lymphoma (NHL)-Phase II[8].Diffuse large B cell lymphoma (DLBCL) – Phase III[11].B-cell chronic lymphocytic leukemia (B-CLL) – Phase II[12].Mantle cell lymphoma (MCL).^ Clinical trial number NCTNCT01014208 for "Ofatumumab Versus Rituximab Salvage Chemoimmunotherapy Followed by Autologous Stem Cell Transplant in Relapsed or Refractory Diffuse Large B Cell Lymphoma (ORCHARRD" at ClinicalTrials.^ Clinical trial number NCT00349349 for "HuMax-CD20 in B-Cell Chronic Lymphocytic Leukemia (B-CLL) Patients Failing Fludarabine and Alemtuzumab" at ClinicalTrials. "Safety and efficacy of ofatumumab, a fully human monoclonal anti-CD20 antibody, in patients with relapsed or refractory B-cell chronic lymphocytic leukemia: a phase 1-2 study".Targeted cancer therapy / antineoplastic agents (L01).Leukemia/lymphoma		
Pinatuzumab vedotin		humanized	CD22		mab	cancer		Blood	Onartuzumab is a humanized monoclonal antibody designed for the treatment of cancer.Leukemia inhibitory factor (LIF)		
Polatuzumab vedotin[26][122]		humanized	CD79B		mab	cancer		Blood	Polatuzumab vedotin[1] (DCDS4501A or RG7596) is an antibody-drug conjugate or ADC designed for the treatment of cancer. The Phase I trial investigates the drug in B-cell non-Hodgkin’s lymphoma [4] while the Phase II trials investigates the trial drug for the treatment of patients with relapsed or refractory follicular or diffuse large B-Cell Lymphoma		
Pritumumab	vimentin	human	VIM		mab	brain cancer		cancer	Pritumumab is a human monoclonal antibody[1] used in the treatment of brain cancer.^ Nascent Biologics Proven Cancer Cure Back in the Hands Of U		
Radretumab	fibronectin extra domain-B	human	FN1		mab	cancer		Blood	Philogen, a pharmaceutical company specializing in antibody-drug conjugates, is developing it as a conjugate of Iodine-131 to an antibody which binds to fibronectin extra domain-B for treatment of Hodgkin lymphoma	Extra domain B is not normally in Fibronectin?	
Ramucirumab	VEGFR2	human	KDR	Cyramza	mab	solid tumors		Lung, Stomach, Breast, Colon-Small_intestine, Liver	On 21 April 2014, the US Food and Drug Administration (FDA) approved ramucirumab, as a single agent or with paclitaxel, for treatment of advanced gastric or gastro-esophageal junction adenocarcinoma if the disease has progressed despite fluoropyrimidine- or platinum-containing chemotherapy.On 12 December 2014, the FDA approved ramucirumab in combination with docetaxel, for treatment of metastatic non-small-cell lung carcinoma (NSCLC) with disease progression on or after platinum-containing chemotherapy.In Europe, the drug is approved since 21 January 2015 for gastric or gastro-esophageal junction cancer under the same conditions. Meanwhile, it has also been approved for NSCLC, as well as in combination with FOLFIRI for the treatment of metastatic colorectal cancer if the disease has progressed despite bevacizumab, oxaliplatin and capecitabine (or sililar) therapy.On September 26, 2013 the manufacturer Eli Lilly announced that its Phase III study for ramucirumab failed to hit its primary endpoint on progression-free survival among women with metastatic breast cancer.In June 2014, a phase III trial of the drug reported it failed to improve overall survival in liver cancer.^ FierceBiotech: FDA OKs Lilly's blockbuster hopeful ramucirumab for stomach cancer.^ Ramucirumab gastric cancer regimen & reference.^ Clinical trial number NCT00703326 for "Phase III Study of Docetaxel + Ramucirumab or Placebo in Breast Cancer" at ClinicalTrials. "In another stinging setback, Eli Lilly's ramucirumab fails PhIII breast cancer study".com/gen-news-highlights/lilly-s-cyramza-fails-phase-iii-trial-in-liver-cancer/81249964/		
Rilotumumab[126]		human	HGF		mab	solid tumors		Stomach	until in November 2014, when Amgen announced it had halted all clinical trials of the compound in advanced gastric cancer (including two Phase III studies) after one of the trials found an increase in the number of deaths in those who were taking rilotumumab and chemotherapy when compared to those who were only administered chemotherapy.^ "Amgen scraps trials of drug for advanced stomach cancer".com/gen-news-highlights/amgen-halts-rilotumumab-trials-in-advanced-gastric-cancer/81250637/		
Rituximab	CD20	chimeric	MS4A1	MabThera, Rituxan	mab	lymphomas, leukemias, some autoimmune disorders		Breast, Kidney	Tumor lysis syndrome, causing acute renal failure. Breast cancer research : BCR		
Robatumumab	IGF-1 receptor (CD221)	human	IGF1R		mab	cancer		Colon-Small_intestine	Phase 2 clinical trials in patients with colorectal cancer, osteosarcoma and Ewing's sarcoma are complete.^ Clinical trial number NCT00551213 for "A Study to Determine the Activity of Robatumumab (SCH 717454, MK-7454) in Participants With Relapsed or Recurrent Colorectal Cancer (P04721, MK-7454-003)" at ClinicalTrials		
Sacituzumab govitecan[130]	tumor-associated calcium signal transducer 2	humanized	TACSTD2		mab	cancer		Stomach, Lung, Breast, Pancreas	Sacituzumab govitecan (IMMU-132 or hRS7-SN-38) is an antibody-drug conjugate being investigated as a treatment for cancers such as pancreatic cancers, small-cell lung cancer (SCLC) and triple-negative breast cancer.[2] Fast track designation was received in 2013 for treatment of non-small cell lung cancer, small cell lung cancer, and metastatic triple-negative breast cancer. Orphan drug status was granted for small cell lung cancer and pancreatic cancer.Activity has been seen in a phase II trial for metastatic triple-negative breast cancer.[6] It was included in the I-SPY2 adaptive clinical trial for breast cancer and has 'graduated' to the later stage trials.Under a Special Protocol Assessment agreement, Immunomedics is conducting a phase III clinical trial in patients with triple-negative breast cancer.^ New Therapy Shows Early Promise, Continues to Progress in Triple-Negative Breast Cancer.^ Sacituzumab Govitecan (IMMU-132), an Anti-Trop-2/SN-38 Antibody-Drug Conjugate: Characterization and Efficacy in Pancreatic, Gastric, and Other Cancers.^ Immunomedics Reports Complete Responses in Patients With Metastatic Triple-Negative Breast Cancer After Sacituzumab Govitecan Treatment		
Samalizumab		humanized	CD200		mab	cancer		Blood	The immunosuppressive molecule CD200 is upregulated on B-CLL and MM cells which may contribute to tumor immune evasion. Samalizumab is a novel first-in-class recombinant humanized monoclonal antibody that specifically binds CD200 and blocks CD200-CD200R interactions. Preclinical data suggest that CD200 blockade may inhibit CD200-dependent immune suppression, enabling a more efficient immune response against CD200+ tumor cells. A first-in-human phase I/II trial was initiated to evaluate safety, maximum tolerated dose, pharmacokinetics (PK) and pharmacodynamic (PD) activity of samalizumab.   http://www.bloodjournal.org/content/116/21/2465?sso-checked=true		
Seribantumab[26]	ERBB3 (HER3)	human	ERBB3		mab	cancer		Blood	Pidilizumab (formerly CT-011) is a monoclonal antibody being developed by Medivation for the treatment of cancer and infectious diseases.It had encouraging results by 2011 from phase II clinical trials for diffuse large B-cell lymphoma.[4] A phase II open-label study in combination for relapsed follicular lymphoma found good results compared to usual response rates. A phase I/II open label study in pediatric patients with a rare form of brain cancer, diffuse intrinsic pontine glioma, found improvement in overall survival compared to expected outcome. "Safety and Activity of PD1 Blockade by Pidilizumab in Combination with Rituximab in Patients with Relapsed Follicular Lymphoma: a Single Group, Open-label, Phase 2 Trial".com/story/anti-pd-1-well-no-says-medivation-partial-hold-forces-halt-pivotal-cancer-s/2016-01-26		
SGN-CD19A		humanized	CD19		mab	acute lymphoblastic leukemia and B-cell non-Hodgkin lymphoma		Blood	SGN-CD19A is an antibody-drug conjugate (ADC) directed to CD19 designed for the treatment of CD19-positive acute lymphoblastic leukemia and B-cell non-Hodgkin lymphoma.[5] Preliminary phase I results for B-cell malignancies, including diffuse large B-cell lymphoma (DLBCL) and B-lineage acute lymphocytic leukemia (B-ALL) are being presented at the ASH medical conference Dec 2015		
SGN-CD33A		humanized	CD33		mab	Acute myeloid leukemia		Blood	Veltuzumab is a monoclonal antibody (targeted at CD20) which is being investigated for the treatment of non-Hodgkin's lymphoma. "CD20-targeted tetrameric interferon- , a novel and potent immunocytokine for the therapy of B-cell lymphomas". "The combination of milatuzumab, a humanized anti-CD74 antibody, and veltuzumab, a humanized anti-CD20 antibody, demonstrates activity in patients with relapsed and refractory B-cell non-Hodgkin lymphoma"		
Sibrotuzumab		humanized	FAP		mab	cancer		Ovary, Colon-Small_intestine	In 2003 it failed a phase II clinical trial for metastatic colorectal cancer. "Stromal antigen targeting by a humanised monoclonal antibody: an early phase II trial of sibrotuzumab in patients with metastatic colorectal cancer"		
